query,document_id,document_summary,relevance_score,threshold,decision,reason,project_link
What is the company data privacy policy?,Doc_01,"The latest company data privacy policy published in 2024 explains how personal user data is collected, stored, processed, and protected. It outlines user rights, consent mechanisms, and security safeguards.",0.28,0.15,Included,High semantic relevance to the user query,https://github.com/Mohitkaintura123/Self-Auditing-Context-Engine
What is the company data privacy policy?,Doc_02,An archived data privacy policy document from 2016 describing earlier rules for handling customer information. Some compliance terms are outdated compared to current regulations.,0.18,0.15,Included,High semantic relevance to the user query,https://github.com/Mohitkaintura123/Self-Auditing-Context-Engine
What is the company data privacy policy?,Doc_03,"A marketing brochure describing company products, customer offerings, advertising strategies, and brand positioning. It does not discuss data privacy or data protection policies.",0.11,0.15,Excluded,Relevance score below defined threshold,https://github.com/Mohitkaintura123/Self-Auditing-Context-Engine
What is the company data privacy policy?,Doc_04,"Legal compliance and GDPR guidelines explaining personal data privacy rights, lawful data processing, regulatory obligations, and penalties for non-compliance.",0.07,0.15,Excluded,Relevance score below defined threshold,https://github.com/Mohitkaintura123/Self-Auditing-Context-Engine
What is the company data privacy policy?,Doc_05,"An internal employee handbook that includes confidentiality requirements, acceptable data handling practices, and internal information security rules.",0.01,0.15,Excluded,Relevance score below defined threshold,https://github.com/Mohitkaintura123/Self-Auditing-Context-Engine
What is the company data privacy policy?,Doc_06,"A customer data handling and retention policy describing how customer information is stored, how long it is retained, and how user consent is managed.",0.05,0.15,Excluded,Relevance score below defined threshold,https://github.com/Mohitkaintura123/Self-Auditing-Context-Engine
What is the company data privacy policy?,Doc_07,"IT security documentation detailing access control mechanisms, encryption standards, system monitoring, and protection of sensitive user and company data.",0.14,0.15,Excluded,Relevance score below defined threshold,https://github.com/Mohitkaintura123/Self-Auditing-Context-Engine
What is the company data privacy policy?,Doc_08,"An annual company governance and compliance report that references internal audits, regulatory compliance efforts, and oversight of data privacy risks.",0.11,0.15,Excluded,Relevance score below defined threshold,https://github.com/Mohitkaintura123/Self-Auditing-Context-Engine
What is the company data privacy policy?,Doc_09,A privacy impact assessment report evaluating risks related to personal data processing and recommending safeguards to protect user information.,0.03,0.15,Excluded,Relevance score below defined threshold,https://github.com/Mohitkaintura123/Self-Auditing-Context-Engine
What is the company data privacy policy?,Doc_10,An incident response and data breach management policy outlining procedures to follow in case of unauthorized access or data leakage.,0.06,0.15,Excluded,Relevance score below defined threshold,https://github.com/Mohitkaintura123/Self-Auditing-Context-Engine
What is the company data privacy policy?,Doc_11,"A third-party vendor agreement specifying data sharing conditions, confidentiality clauses, and responsibilities for protecting shared user data.",0.02,0.15,Excluded,Relevance score below defined threshold,https://github.com/Mohitkaintura123/Self-Auditing-Context-Engine
What is the company data privacy policy?,Doc_12,"Terms of service document explaining user responsibilities, service usage conditions, and references to data collection and privacy practices.",0.03,0.15,Excluded,Relevance score below defined threshold,https://github.com/Mohitkaintura123/Self-Auditing-Context-Engine
What is the company data privacy policy?,Doc_13,"Information security awareness training material designed to educate employees about data privacy, phishing risks, and secure handling of information.",0.07,0.15,Excluded,Relevance score below defined threshold,https://github.com/Mohitkaintura123/Self-Auditing-Context-Engine
What is the company data privacy policy?,Doc_14,Audit log retention policy describing how system logs containing user activity data are stored and retained for compliance purposes.,0.05,0.15,Excluded,Relevance score below defined threshold,https://github.com/Mohitkaintura123/Self-Auditing-Context-Engine
What is the company data privacy policy?,Doc_15,"Company code of ethics document that includes principles related to confidentiality, responsible data usage, and respect for user privacy.",0.07,0.15,Excluded,Relevance score below defined threshold,https://github.com/Mohitkaintura123/Self-Auditing-Context-Engine
What is the company data privacy policy?,Doc_16,"A risk assessment report analyzing threats related to unauthorized data access, misuse of personal information, and privacy violations.",0.03,0.15,Excluded,Relevance score below defined threshold,https://github.com/Mohitkaintura123/Self-Auditing-Context-Engine
What is the company data privacy policy?,Doc_17,"Cloud infrastructure security policy governing how user data is stored, processed, and protected on third-party cloud platforms.",0.05,0.15,Excluded,Relevance score below defined threshold,https://github.com/Mohitkaintura123/Self-Auditing-Context-Engine
What is the company data privacy policy?,Doc_18,"A data classification policy defining public, internal, confidential, and restricted data, including guidelines for handling sensitive personal information.",0.06,0.15,Excluded,Relevance score below defined threshold,https://github.com/Mohitkaintura123/Self-Auditing-Context-Engine
What is the company data privacy policy?,Doc_19,Backup and disaster recovery policy focused on ensuring availability of company systems and data during outages or system failures.,0.1,0.15,Excluded,Relevance score below defined threshold,https://github.com/Mohitkaintura123/Self-Auditing-Context-Engine
What is the company data privacy policy?,Doc_20,"A press release announcing a new product launch and marketing campaign, with no reference to data privacy or information protection.",0.07,0.15,Excluded,Relevance score below defined threshold,https://github.com/Mohitkaintura123/Self-Auditing-Context-Engine
What is the company data privacy policy?,Doc_21,"Customer support FAQ addressing common questions about account security, privacy concerns, and protection of personal user data.",0.03,0.15,Excluded,Relevance score below defined threshold,https://github.com/Mohitkaintura123/Self-Auditing-Context-Engine
What is the company data privacy policy?,Doc_22,An internal memo discussing upcoming changes to data protection regulations and their impact on company privacy policies.,0.08,0.15,Excluded,Relevance score below defined threshold,https://github.com/Mohitkaintura123/Self-Auditing-Context-Engine
